quote,author,title,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,keywords
"“Base metals can be transmuted into gold by stars, and by intelligent beings who understand the processes that power stars, but by nothing else in the universe.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,,,,,,,,,,,,
"“Good political institutions are those that make it as easy as possible to detect whether a ruler or policy is a mistake, and to remove rulers or policies without violence when they are.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,institution,,,,,,,,,,,,
"“The theory of computation has traditionally been studied almost entirely in the abstract, as a topic in pure mathematics. This is to miss the point of it. Computers are physical objects, and computations are physical processes. What computers can or cannot compute is determined by the laws of physics alone, and not by pure mathematics.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,computation,computer,physics,mathematics,,,,,,,,,
"“The ability to create and use explanatory knowledge gives people a power to transform nature which is ultimately not limited by parochial factors, as all other adaptations are, but only by universal laws. This is the cosmic significance of explanatory knowledge – and hence of people, whom I shall henceforward define as entities that can create explanatory knowledge.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,parochialism,imitation,universe,knowledge,,,,,,,,
"“history is the history of ideas, not of the mechanical effects of biogeography. Strategies to prevent foreseeable disasters are bound to fail eventually, and cannot even address the unforeseeable. To prepare for those, we need rapid progress in science and technology and as much wealth as possible.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,wealth,,,,,,,,,,,
"“As the physicist Stephen Hawking put it, humans are ‘just a chemical scum on the surface of a typical planet that’s in orbit round a typical star on the outskirts of a typical galaxy’. The proviso ‘in the cosmic scheme of things’ is necessary because the chemical scum evidently does have a special significance according to values that it applies to itself, such as moral values. But the Principle says that all such values are themselves anthropocentric: they explain only the behaviour of the scum, which is itself insignificant.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explainer,anthropocentric,physics,behaviourism,,,,,,,,,
“Feeling insignificant because the universe is large has exactly the same logic as feeling inadequate for not being a cow.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,,,,,,,,,,,,
"“To interpret dots in the sky as white-hot, million-kilometre spheres, one must first have thought of the idea of such spheres. And then one must explain why they look small and cold and seem to move in lockstep around us and do not fall down. Such ideas do not create themselves, nor can they be mechanically derived from anything: they have to be guessed – after which they can be criticized and tested.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explainer,interpretation,,,,,,,,,,,
"“There is only one way of thinking that is capable of making progress, or of surviving in the long run, and that is the way of seeking good explanations through creativity and criticism. What”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,creativity,,,,,,,,,,,
"“Sparta has no philosophers. That’s because the job of a philosopher is to understand things better, which is a form of change, so they don’t want it. Another difference: they don’t honour living poets, only dead ones. Why? Because dead poets don’t write anything new, but live ones do. A third difference: their education system is insanely harsh; ours is famously lax. Why? Because they don’t want their kids to dare to question anything, so that they won’t ever think of changing anything. How”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,education,,,,,,,,,,,,
"“It follows that humans, people and knowledge are not only objectively significant: they are by far the most significant phenomena in nature – the only ones whose behaviour cannot be understood without understanding everything of fundamental importance.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,knowledge,behaviourism,,,,,,,,,,,
"“Optimism is, in the first instance, a way of explaining failure, not prophesying success. It says that there is no fundamental barrier, no law of nature or supernatural decree, preventing progress. Whenever”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explainer,optimism,,,,,,,,,,,
"“the universe is not only queerer than we suppose, but queerer than we can suppose.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,,,,,,,,,,,,
"“Although, through the vagaries of international politics, Athens became independent and democratic again soon afterwards, and continued for several generations to produce art, literature and philosophy, it was never again host to rapid, open-ended progress. It became unexceptional. Why? I guess that its optimism was gone.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rational,gene,rationality,optimism,,,,,,,,,
"“The most important of all limitations on knowledge – creation is that we cannot prophecy: we cannot predict the content of ideas yet to be created, or their effects. This limitation is not only consistent with the unlimited growth of knowledge, it is entailed by it.”",David Deutsch,N/A,prediction,knowledge,imitation,,,,,,,,,,
"“SOCRATES: No, I am not sure of anything. I never have been. But the god explained to me why that must be so, starting with the fallibility of the human mind and the unreliability of sensory experience.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explainer,fallibilism,,,,,,,,,,,
“Science is what we have learned about how to keep from fooling ourselves.’ By”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,,,,,,,,,,,,
"“But in any case, understanding is one of the higher functions of the human mind and brain, and a unique one. Many other physical systems, such as animals’ brains, computers and other machines, can assimilate facts and act upon them. But at present we know of nothing that is capable of understanding an explanation – or of wanting one in the first place – other than a human mind.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,computation,physics,explanation,computer,,,,,,,,,
"“The scientific revolution was part of a wider intellectual revolution, the Enlightenment, which also brought progress in other fields, especially moral and political philosophy, and in the institutions of society. Unfortunately, the term ‘the Enlightenment’ is used by historians and philosophers to denote a variety of different trends, some of them violently opposed to each other. What I mean by it will emerge here as we go along. It is one of several aspects of ‘the beginning of infinity’, and is a theme of this book. But one thing that all conceptions of the Enlightenment agree on is that it was a rebellion, and specifically a rebellion against authority in regard to knowledge.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inf,emergence,institution,infinite,history,knowledge,enlightenment,,,,,,
"“Arthur C. Clarke once remarked that 'any sufficiently advanced technology is indistinguishable from magic'. This is true, but slightly misleading. It is stated from the point of view of a pre-scientific thinker, which is the wrong way round. The fact is that to anyone who understands what virtual reality is, even genuine magic would be indistinguishable from technology, for there is no room for magic in a comprehensible reality. Anything that seems incomprehensible is regarded by science merely as evidence that there is something we have not yet understood, be it a conjuring trick, advanced technology or a new law of physics.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,science,physics,,,,,,,,,,,
"“Because we are universal explainers, we are not simply obeying our genes. For”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,gene,explainer,,,,,,,,,,
"“If something is permitted by the laws of physics, then the only thing that can prevent it from being technologically possible is not knowing how.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,physics,,,,,,,,,,,,
"“We never know any data before interpreting it through theories. All observations are, as Popper put it, theory-laden,* and hence fallible, as all our theories are. Consider”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,interpretation,theory,,,,,,,,,,,
"“In some environments in the universe, the most efficient way for humans to thrive might be to alter their own genes. Indeed, we are already doing that in our present environment, to eliminate diseases that have in the past blighted many lives. Some people object to this on the grounds (in effect) that a genetically altered human is no longer human. This is an anthropomorphic mistake. The only uniquely significant thing about humans (whether in the cosmic scheme of things or according to any rational human criterion) is our ability to create new explanations, and we have that in common with all people. You do not become less of a person if you lose a limb in an accident; it is only if you lose your brain that you do. Changing our genes in order to improve our lives and to facilitate further improvements is no different in this regard from augmenting our skin with clothes or our eyes with telescopes.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,rationality,person,gene,universe,rational,,,,,,,
"“To choose an option, rationally, is to choose the associated explanation. Therefore, rational decision-making consists not of weighing evidence but of explaining it, in the course of explaining the world. One judges arguments as explanations, not justifications, and one does this creatively, using conjecture, tempered by every kind of criticism. It is in the nature of good explanations – being hard to vary – that there is only one of them. Having created it, one is no longer tempted by the alternatives. They have been not outweighed, but out-argued, refuted and abandoned. During the course of a creative process, one is not struggling to distinguish between countless different explanations of nearly equal merit; typically, one is struggling to create even one good explanation, and, having succeeded, one is glad to be rid of the rest.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,refutation,rationality,justificationism,quale,decision-making,explainer,rational,conjecture,creativity,,,
"“Amending the ‘data’, or rejecting some as erroneous, is a frequent concomitant of scientific discovery, and the crucial ‘data’ cannot even be obtained until theory tells us what to look for and how and why.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“We shall always be faced with the problem of how to plan for an unknowable future.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,problem,,,,,,,,,,,,
"“An optimistic civilization is open and not afraid to innovate, and is based on traditions of criticism.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,optimism,,,,,,,,,,,,
"“a rational political system makes it as easy as possible to detect, and persuade others, that a leader or policy is bad, and to remove them without violence if they are.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,rational,rationality,,,,,,,,,,,
"“systems of government are to be judged not for their prophetic ability to choose and install good leaders and policies, but for their ability to remove bad ones that are already there.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,government,,,,,,,,,,,,
“Trying to rely on the sheer good luck of avoiding bad outcomes indefinitely would simply guarantee that we would eventually fail without the means of recovering.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“My pencil and I are more clever than I.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“I have settled on a simple test for judging claims, including Dennett’s, to have explained the nature of consciousness (or any other computational task): if you can’t program it, you haven’t understood it. Turing invented his test in the hope of bypassing all those philosophical problems. In other words, he hoped that the functionality could be achieved before it was explained. Unfortunately it is very rare for practical solutions to fundamental problems to be discovered without any explanation of why they work.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,computer,program,computation,problem,explainer,,,,,,,
"“Perhaps a more practical way of stressing the same truth would be to frame the growth of knowledge (all knowledge, not only scientific) as a continual transition from problems to better problems, rather than from problems to solutions or from theories to better theories.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,problem,knowledge,theory,,,,,,,,,,
“The most general way of stating the central assertion of the neo-Darwinian theory of evolution is that a population of replicators subject to variation (for instance by imperfect copying) will be taken over by those variants that are better than their rivals at causing themselves to be replicated,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,gene,darwin,replicator,,,,,,,,,,
"“Using our explanations, we ‘see’ right through the behaviour to the meaning. Parrots copy distinctive sounds; apes copy purposeful movements of a certain limited class. But humans do not especially copy any behaviour. They use conjecture, criticism and experiment to create good explanations of the meaning of things – other people’s behaviour, their own, and that of the world in general. That”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,behaviourism,imitation,gene,conjecture,,,,,,,,
“Those two overarching concerns are these: we Athenians are concerned above all with improvement; the Spartans seek only – stasis. Two opposite objectives. If”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“a population of replicators subject to variation (for instance by imperfect copying) will be taken over by those variants that are better than their rivals at causing themselves to be replicated.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,replicator,,,,,,,,,,,,
“Whenever we observe anything – a scientific instrument or a galaxy or a human being – what we are actually seeing is a single-universe perspective on a larger object that extends some way into other universes. In”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,instrumentalism,,,,,,,,,,,
"“Copenhagen interpretation Niels Bohr’s combination of instrumentalism, anthropocentrism and studied ambiguity, used to avoid understanding quantum theory as being about reality.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,instrumentalism,interpretation,anthropocentric,quantum,,,,,,,,,
“Existimos en múltiples versiones en universos denominados «momentos».”,David Deutsch,The Fabric of Reality: The Science of Parallel Universes — And Its Implications,universe,,,,,,,,,,,,
"“mechanical reinterpretations of human affairs not only lack explanatory power, they are morally wrong as well, for in effect they deny the humanity of the participants, casting them and their ideas merely as side effects of the landscape. Diamond”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,interpretation,,,,,,,,,,,
“The Enlightenment (The beginning of) a way of pursuing knowledge with a tradition of criticism and seeking good explanations instead of reliance on authority.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,explanation,knowledge,,,,,,,,,,
"“Conjectures are the products of creative imagination. But the problem with imagination is that it can create fiction much more easily than truth. As I have suggested, historically, virtually all human attempts to explain experience in terms of a wider reality have indeed been fiction, in the form of myths, dogma and mistaken common sense – and the rule of testability is an insufficient check on such mistakes. But the quest for good explanations does the job: inventing falsehoods is easy, and therefore they are easy to vary once found; discovering good explanations is hard, but the harder they are to find, the harder they are to vary once found.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,problem,conjecture,history,explainer,creativity,,,,,,,
"“They are also about coherence, elegance and simplicity, as opposed to arbitrariness and complexity, though none of those things is easy to define either.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,elegance,implicit,,,,,,,,,,,
"“The whole motivation for seeking a perfectly secure foundation for mathematics was mistaken. It was a form of justificationism. Mathematics is characterized by its use of proofs in the same way that science is characterized by its use of experimental testing; in neither case is that the object of the exercise. The object of mathematics is to understand – to explain – abstract entities. Proof is primarily a means of ruling out false explanations; and sometimes it also provides mathematical truths that need to be explained. But, like all fields in which progress is possible, mathematics seeks not random truths but good explanations.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,explanation,justificationism,proof,mathematics,explainer,,,,,,,
"“Because pessimism needs to counter that argument in order to be at all persuasive, a recurring theme in pessimistic theories throughout history has been that an exceptionally dangerous moment is imminent.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,theory,,,,,,,,,,,,
“The Principle of OptimismAll evils are caused by insufficient knowledge.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,knowledge,optimism,,,,,,,,,,,
"“Whenever we try to improve things and fail, it is not because the spiteful (or unfathomably benevolent) gods are thwarting us or punishing us for trying, or because we have reached a limit on the capacity of reason to make improvements, or because it is best that we fail, but always because we did not know enough, in time.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,imitation,,,,,,,,,,,,
"“Whenever a wide range of variant theories can account equally well for the phenomenon they are trying to explain, there is no reason to prefer one of them over the others, so advocating a particular one in preference to the others is irrational.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rationality,explainer,rational,theory,quale,,,,,,,,
"“If two programs respond in the same way to every possible action by the user, then they render the same environment; if they would respond perceptibly differently to even one possible action, they render different environments.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,program,,,,,,,,,,,,
"“The fundamental theories of modern physics explain the world in jarringly counter-intuitive ways. For example, most non-physicists consider it self-evident that when you hold your arm out horizontally you can feel the force of gravity pulling it downwards. But you cannot. The existence of a force of gravity is, astonishingly, denied by Einstein’s general theory of relativity, one of the two deepest theories of physics. This says that the only force on your arm in that situation is that which you yourself are exerting, upwards, to keep it constantly accelerating away from the straightest possible path in a curved region of spacetime”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,physics,gene,relativism,explainer,theory,,,,,,,,
“This inductively justifies the conclusion that induction cannot justify any conclusions.”,David Deutsch,N/A,induction,inductivism,,,,,,,,,,,
"“There is often a moral overtone to reductionism (science should be essentially reductive). This is related both to instrumentalism and to the Principle of Mediocrity, which I criticized in Chapters 1 and 3. Instrumentalism is rather like reductionism except that, instead of rejecting only high-level explanations, it tries to reject all explanations. The Principle of Mediocrity is a milder form of reductionism: it rejects only high-level explanations that involve people. While I am on the subject of bad philosophical doctrines with moral overtones, let me add holism, a sort of mirror image of reductionism. It is the idea that the only valid explanations (or at least the only significant ones) are of parts in terms of wholes. Holists also often share with reductionists the mistaken belief that science can only (or should only) be reductive, and therefore they oppose much of science. All those doctrines are irrational for the same reason: they advocate accepting or rejecting theories on grounds other than whether they are good explanations.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,instrumentalism,explanation,holism,rationality,reductionism,rational,education,theory,,,,
“Very little in nature is detectable by unaided human senses.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“The biologist Peter Medawar described science as ‘the art of the soluble’, but the same applies to all forms of knowledge. All kinds of creative thought involve judgements about what approaches might or might not work. Gaining or losing interest in particular problems or sub-problems is part of the creative process and itself constitutes problem-solving. So whether ‘problems are soluble’ does not depend on whether any given question can be answered, or answered by a particular thinker on a particular day. But if progress ever depended on violating a law of physics, then ‘problems are soluble’ would be false.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,science,physics,problem,problem-solving,knowledge,creativity,,,,,,,
"“This is what we can achieve when, as Feynman said, we keep learning more about how not to fool ourselves.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“Its quest for good explanations corrects the errors, allows for the biases and misleading perspectives, and fills in the gaps.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,,,,,,,,,,,,
"“So we seek explanations that remain robust when we test them against those flickers and shadows, and against each other, and against criteria of logic and reasonableness and everything else we can think of. And when we can change them no more, we have understood some objective truth. And, as if that were not enough, what we understand we then control. It is like magic, only real. We are like gods!”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,,,,,,,,,,,,
"“The theory reaches out, as it were, from its finite origins inside one brain that has been affected only by scraps of patchy evidence from a small part of one hemisphere of one planet – to infinity. This reach of explanations is another meaning of ‘the beginning of infinity’. It is the ability of some of them to solve problems beyond those that they were created to solve.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inf,infinite,explanation,problem,,,,,,,,,
“We know that achieving arbitrary physical transformations that are not forbidden by the laws of physics (such as replanting a forest) can only be a matter of knowing how. We know that finding out how is a matter of seeking good explanations.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,physics,,,,,,,,,,,
"“Thus, although the existence of progress in the biosphere is what the theory of evolution is there to explain, not all evolution constitutes progress, and no (genetic) evolution optimizes progress.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explainer,gene,optimism,,,,,,,,,,
“knowledge has the unique ability to take aim at a distant target and utterly transform it while having scarcely any effect on the space between.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,knowledge,,,,,,,,,,,,
"“The very existence of Athens, however peaceful, is a deadly threat to Sparta’s stasis. And therefore, in the long run, the condition for the continued stasis of Sparta (which means its continued existence, as they see it) is the destruction of progress in Athens (which from our perspective would constitute the destruction of Athens).”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
“SOCRATES: You have? Oh – you said that you honour Athenians for our openness to persuasion. And for our defiance of bullies. But”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“El tiempo no transcurre. Otros tiempos son, simplemente, casos especiales de otros universos.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,universe,,,,,,,,,,,,
"“For each natural number N, will the guest in room number N please move immediately to room number N (N +1)/2.’ Then they announce, ‘For all natural numbers N and M, will the Nth passenger from the Mth train please go to room number [(N + M)2 + N – M/2.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,,,,,,,,,,,,,
"“Rejecting authority in regard to knowledge was not just a matter of abstract analysis. It was a necessary condition for progress, because, before the Enlightenment, it was generally believed that everything important that was knowable had already been discovered, and was enshrined in authoritative sources such as ancient writings and traditional assumptions. Some of those sources did contain some genuine knowledge, but it was entrenched in the form of dogmas along with many falsehoods. So the situation was that all the sources from which it was generally believed knowledge came actually knew very little, and were mistaken about most of the things that they claimed to know. And therefore progress depended on learning how to reject their authority. This is why the Royal Society (one of the earliest scientific academies, founded in London in 1660) took as its motto ‘Nullius in verba’, which means something like ‘Take no one’s word for it.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,gene,knowledge,,,,,,,,,,
"“Some people become depressed at the scale of the universe, because it makes them feel insignificant. Other people are relieved to feel insignificant, which is even worse. But, in any case, those are mistakes. Feeling insignificant because the universe is large has exactly the same logic as feeling inadequate for not being a cow.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,universe,,,,,,,,,,,,
"“It is a mistake to conceive of choice and decision-making as a process of selecting from existing options according to a fixed formula. That omits the most important element of decision-making, namely the creation of new options. Good”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,decision-making,,,,,,,,,,,,
"“But that is really the least of the irrational attributes of proportional representation. A more important one – which is shared by even the mildest of proportional systems – is that they assign disproportionate power in the legislature to the third-largest party, and often to even smaller parties. It works like this. It is rare (in any system) for a single party to receive an overall majority of votes. Hence, if votes are reflected proportionately in the legislature, no legislation can be passed unless some of the parties cooperate to pass it, and no government can be formed unless some of them form a coalition. Sometimes the two largest parties manage to do this, but the most common outcome is that the leader of the third-largest party holds the ‘balance of power’ and decides which of the two largest parties shall join it in government, and which shall be sidelined, and for how long. That means that it is correspondingly harder for the electorate to decide which party, and which policies, will be removed from power.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,rational,government,rationality,,,,,,,,,,
"“discovering good explanations is hard, but the harder they are to find, the harder they are to vary once found.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,explanation,,,,,,,,,,,,
"“Unless a society is expecting its own future choices to be better than its present ones, it will strive to make its present policies and institutions as immutable as possible.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,institution,,,,,,,,,,,,
“Could it be that the moral imperative not to destroy the means of correcting mistakes is the only moral imperative?”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,,,,,,,,,,,,,
"“everything that is not forbidden by laws of nature is achievable, given the right knowledge.”",David Deutsch,The Beginning of Infinity: Explanations that Transform The World,knowledge,,,,,,,,,,,,
“there can be only one type of person: universal explainers and constructors.”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,person,universe,constructor,explainer,,,,,,,,,
“there is only one way of making progress: conjecture and criticism”,David Deutsch,The Beginning of Infinity: Explanations that Transform The World,conjecture,,,,,,,,,,,,
“Beware the difference between prediction and prophecy. Prophecy purports to know things which cannot be known.”,David Deutsch,The Beginning of Infinity: Explanations That Transform the World,prediction,,,,,,,,,,,,
"“The last room number is not infinity. First of all, there is no last room.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,inf,infinite,,,,,,,,,,,
"“Again we were too parochial, and were led to the false conclusion that knowledge-bearing entities can be physically identical to non-knowledge-bearing ones; and this in turn cast doubt on the fundamental status of knowledge. But now we have come almost full circle. We can see that the ancient idea that living matter has special physical properties was almost true: it is not living matter but knowledge-bearing matter that is physically special. Within one universe it looks irregular; across universes it has a regular structure, like a crystal in the multiverse.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,physics,parochialism,multiverse,universe,knowledge,,,,,,,,
"“From the least parochial perspectives available to us, people are the most significant entities in the cosmic scheme of things. They are not ‘supported’ by their environments, but support themselves by creating knowledge. Once they have suitable knowledge (essentially, the knowledge of the Enlightenment), they are capable of sparking unlimited further progress.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,enlightenment,knowledge,imitation,parochialism,,,,,,,,,
"“The misconception that knowledge needs authority to be genuine or reliable dates back to antiquity, and it still prevails. To this day, most courses in the philosophy of knowledge teach that knowledge is some form of justified, true belief, where ‘justified’ means designated as true (or at least ‘probable’) by reference to some authoritative source or touchstone of knowledge. Thus ‘how do we know…?’ is transformed into ‘by what authority do we claim…?”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,knowledge,,,,,,,,,,,,
"“Consider also the revolutionary utopians, who typically achieve only destruction and stagnation. Though they are blind optimists, what defines them as utopians is their pessimism that their supposed utopia, or their violent proposals for achieving and entrenching it, could ever be improved upon. Additionally,”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,optimism,,,,,,,,,,,,
"“If it turns out that all this time we have merely been studying the programming of a cosmic planetarium, then that would merely mean that we have been studying a smaller portion of reality than we thought. So what? Such things have happened many times in the history of science, as our horizons have expanded beyond the Earth to include the solar system, our Galaxy, other galaxies, clusters of galaxies and so on, and, of course, parallel universes.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,universe,program,science,,,,,,,,,,
"“The fact that the principles of neo-Darwinist theory are, from a certain perspective, self-evident has itself been used as a criticism of the theory. For instance, if the theory must be true, how can it be testable? One reply, often attributed to Haldane, is that the whole theory would be refuted by the discovery of a single fossilized rabbit in a stratum of Cambrian rock. However, that is misleading. The import of such an observation would depend on what explanations were available under the given circumstances. For instance, misidentifications of fossils, and of strata, have sometimes been made and would have to be ruled out by good explanations before one could call the discovery ‘a fossilized rabbit in Cambrian rock’.”",David Deutsch,The Beginning of Infinity: Explanations That Transform the World,explanation,darwin,refutation,,,,,,,,,,
"“Not only is there constant backtracking, but the many subproblems all remain simultaneously active and are addressed opportunistically.”",David Deutsch,The Fabric of Reality: The Science of Parallel Universes — and Its Implications,problem,,,,,,,,,,,,
